Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 14.2 field kosong"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:14:50,2024-02-01 13:14:51,0.371s,PASSED
"setText(findTestObject(""CMS/Page_Dashboard/search bar""), nama_event)",Chrome 121.0.0.0,,,2024-02-01 13:14:51,2024-02-01 13:15:08,17.651s,PASSED
delay(1),Chrome 121.0.0.0,,,2024-02-01 13:15:08,2024-02-01 13:15:09,1.006s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 14.3 nama terisi"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:15:09,2024-02-01 13:15:10,0.358s,PASSED
"setText(findTestObject(""CMS/Page_Dashboard/search bar""), """")",Chrome 121.0.0.0,,,2024-02-01 13:15:10,2024-02-01 13:15:10,0.547s,PASSED
,,,,,,,
Test Cases/event-kanwil/4. check sort,Chrome 121.0.0.0,,,2024-02-01 13:15:10,2024-02-01 13:15:12,2.222s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,,,2024-02-01 13:15:11,2024-02-01 13:15:11,0.000s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Nama Event""))",Chrome 121.0.0.0,,,2024-02-01 13:15:11,2024-02-01 13:15:11,0.543s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 14 nama asc"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:15:11,2024-02-01 13:15:11,0.365s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Sorting/sorting_Nama Event""))",Chrome 121.0.0.0,,,2024-02-01 13:15:11,2024-02-01 13:15:12,0.592s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 14 nama desc"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:15:12,2024-02-01 13:15:12,0.358s,PASSED
